Year,Position,Teams,Played,Won,Loss,No Result,Net Run Rate,Points
2013,3,RR,16,10,6,0,0.322,20
2013,4,SRH,16,10,6,0,0.003,20
2013,5,RCB,16,9,7,0,0.457,18
2013,6,PBKS,16,8,8,0,0.226,16
2013,7,KKR,16,6,10,0,-0.095,12
2013,8,PWI,16,4,12,0,-1.006,8
2013,9,DC,16,3,13,0,-0.848,6
,,,,,,,,
2014,1,PBKS,14,11,3,0,0.968,22
2014,2,KKR,14,9,5,0,0.418,18
2014,3,CSK,14,9,5,0,0.385,18
2014,4,MI,14,7,7,0,0.095,14
2014,5,RR,14,7,7,0,0.06,14
2014,6,SRH,14,6,8,0,-0.399,12
2014,7,RCB,14,5,9,0,-0.428,10
2014,8,DC,14,2,12,0,-1.182,4
,,,,,,,,
2015,1,CSK,14,9,5,0,0.709,18
2015,2,MI,14,8,6,0,-0.043,16
2015,3,RCB,14,7,5,2,1.037,16
2015,4,RR,14,7,5,2,0.062,16
2015,5,KKR,14,7,6,1,0.253,15
2015,6,SRH,14,7,7,0,-0.239,14
2015,7,DC,14,5,8,1,-0.049,11
2015,8,PBKS,14,3,11,0,-1.436,6
,,,,,,,,
2016,1,GL,14,9,5,0,-0.374,18
2016,2,RCB,14,8,6,0,0.932,16
2016,3,SRH,14,8,6,0,0.245,16
2016,4,KKR,14,8,6,0,0.106,16
2016,5,MI,14,7,7,0,-0.146,14
2016,6,DC,14,7,7,0,-0.155,14
2016,7,RPS,14,5,9,0,0.015,10
2016,8,PBKS,14,4,10,0,-0.646,8
,,,,,,,,
2017,1,MI,14,10,4,0,0.784,20
2017,2,RPS,14,9,5,0,0.176,18
2017,3,SRH,14,8,5,1,0.599,17
2017,4,KKR,14,8,6,0,0.641,16
2017,5,PBKS,14,7,7,0,-0.009,14
2017,6,DC,14,6,8,0,-0.512,12
2017,7,GL,14,4,10,0,-0.412,8
2017,8,RCB,14,3,10,1,-1.299,6
,,,,,,,,
2018,1,SRH,14,9,5,0,0.284,18
2018,2,CSK,14,9,5,0,0.253,18
2018,3,KKR,14,8,6,0,-0.07,16
2018,4,RR,14,7,7,0,-0.25,14
2018,5,MI,14,6,8,0,0.317,12
2018,6,RCB,14,6,8,0,0.129,12
2018,7,PBKS,14,6,8,0,-0.502,12
2018,8,DC,14,5,9,0,-0.222,10
,,,,,,,,
2019,1,MI,14,9,5,0,0.421,18
2019,2,CSK,14,9,5,0,0.131,18
2019,3,DC,14,9,5,0,0.044,18
2019,4,SRH,14,6,8,0,0.577,12
2019,5,KKR,14,6,8,0,0.028,12
2019,6,PBKS,14,6,8,0,-0.251,12
2019,7,RR,14,5,8,1,-0.449,11
2019,8,RCB,14,5,8,1,-0.607,11
,,,,,,,,
2020,1,MI,14,9,5,0,1.107,18
2020,2,DC,14,8,6,0,-0.109,16
2020,3,SRH,14,7,7,0,0.608,14
2020,4,RCB,14,7,7,0,-0.172,14
2020,5,KKR,14,7,7,0,-0.214,14
2020,6,PBKS,14,6,8,0,-0.162,12
2020,7,CSK,14,6,8,0,-0.455,12
2020,8,RR,14,6,8,0,-0.569,12
,,,,,,,,
2021,1,DC (Delhi),14,10,4,0,0.481,20
2021,2,CSK (Chennai),14,9,5,0,0.455,18
2021,3,RCB (Bangalore),14,9,5,0,-0.14,18
2021,4,KKR (Kolkata),14,7,7,0,0.587,14
2021,5,MI (Mumbai),14,7,7,0,0.116,14
2021,6,PBKS (Punjab),14,6,8,0,-0.001,12
2021,7,RR (Rajasthan),14,5,9,0,-0.993,10
2021,8,SRH (Hyderabad),14,3,11,0,-0.545,6
,,,,,,,,
2022,1,GT (Gujarat),14,10,4,0,0.316,20
2022,2,RR (Rajasthan),14,9,5,0,0.298,18
2022,3,LSG (Lucknow),14,9,5,0,0.251,18
2022,4,RCB (Bangalore),14,8,6,0,-0.253,16
2022,5,DC (Delhi),14,7,7,0,0.204,14
2022,6,PBKS (Punjab),14,7,7,0,0.126,14
2022,7,KKR (Kolkata),14,6,8,0,0.146,12
2022,8,SRH (Hyderabad),14,6,8,0,-0.379,12
2022,9,CSK (Chennai),14,4,10,0,-0.203,8
2022,10,MI (Mumbai),14,4,10,0,-0.506,8
,,,,,,,,
2023,1,GT (Gujarat),14,10,4,0,0.809,20
2023,2,CSK (Chennai),14,8,5,1,0.652,17
2023,3,LSG (Lucknow),14,8,5,1,0.284,17
2023,4,MI (Mumbai),14,8,6,0,-0.044,16
2023,5,RR (Rajasthan),14,7,7,0,0.148,14
2023,6,RCB (Bangalore),14,7,7,0,0.135,14
2023,7,KKR (Kolkata),14,6,8,0,-0.239,12
2023,8,PBKS (Punjab),14,6,8,0,-0.304,12
2023,9,DC (Delhi),14,5,9,0,-0.808,10
2023,10,SRH (Hyderabad),14,4,10,0,-0.59,8
