Player ID,Name,dob,Bowling,Batting,Nationality,country_id
70633,Hardik Pandya,11-10-1993,right-arm medium-fast,right-hand bat,India,6
7630,Mithun Manhas,12-10-1979,right-arm offbreak,right-hand bat,India,6
10238,Marlon Samuels,05-02-1981,right-arm offbreak,right-hand bat,West Indies,4
50121,Wayne Parnell,30-07-1989,left-arm medium-fast,left-hand bat,South Africa,3
101424,Atharva Taide,26-04-2000,slow left-arm orthodox,left-hand bat,India,6
12548,Chandan Madan,15-10-1982,,right-hand bat,India,6
7804,Ashish Nehra,29-04-1979,left-arm medium-fast,right-hand bat,India,6
50810,Rahul Sharma,30-11-1986,legbreak googly,right-hand bat,India,6
59325,Harmeet Singh,09-10-1987,right-arm medium,right-hand bat,India,6
47123,RP Singh,06-12-1985,left-arm fast-medium,right-hand bat,India,6
99252,Darshan Nalkande,04-10-1998,right-arm fast-medium,right-hand bat,India,6
105215,Noor Ahmad,03-01-2005,left-arm wrist-spin,right-hand bat,Afghanistan,40
53330,Mitchell Starc,30-01-1990,left-arm fast,left-hand bat,Australia,2
2041,Muthiah Muralidaran,17-04-1972,right-arm offbreak,right-hand bat,Sri Lanka,8
61325,Yuzvendra Chahal,23-07-1990,legbreak googly,right-hand bat,India,6
48998,Abu Nechim,05-11-1988,right-arm medium-fast,right-hand bat,India,6
54222,Glenn Maxwell,14-10-1988,right-arm offbreak,right-hand bat,Australia,2
58406,Quinton de Kock,17-12-1992,,left-hand bat,South Africa,3
59599,Mayank Agarwal,16-02-1991,right-arm offbreak,right-hand bat,India,6
8107,Kevin Pietersen,27-06-1980,right-arm offbreak,right-hand bat,England,1
70405,Nicholas Pooran,02-10-1995,right-arm offbreak,left-hand bat,West Indies,4
8813,Dinesh Karthik,01-06-1985,right-arm offbreak,right-hand bat,India,6
49318,Rajesh Bishnoi,08-10-1987,right-arm medium-fast,right-hand bat,India,6
59266,Rahul Shukla,28-08-1990,right-arm medium,right-hand bat,India,6
63646,Mohammed Shami,03-09-1990,right-arm fast,right-hand bat,India,6
19422,Imran Tahir,27-03-1979,legbreak googly,right-hand bat,South Africa,3
54283,Siddarth Kaul,19-05-1990,right-arm medium,right-hand bat,India,6
57196,James Neesham,17-09-1990,right-arm medium-fast,left-hand bat,New Zealand,5
54430,Dwaine Pretorius,29-03-1989,right-arm medium-fast,right-hand bat,South Africa,3
56438,Eklavya Dwivedi,22-07-1988,,right-hand bat,India,6
101414,Mukesh Choudhary,06-07-1996,left-arm medium,left-hand bat,India,6
101991,Maheesh Theekshana,01-08-2000,right-arm offbreak,right-hand bat,Sri Lanka,8
51181,Pradeep Sangwan,05-11-1990,left-arm medium,right-hand bat,India,6
15732,Ali Murtaza,01-01-1990,slow left-arm orthodox,left-hand bat,India,6
2119,Matthew Hayden,29-10-1971,right-arm medium,left-hand bat,Australia,2
62051,Jayant Yadav,22-01-1990,right-arm offbreak,right-hand bat,India,6
6335,Justin Kemp,02-10-1977,right-arm fast-medium,right-hand bat,South Africa,3
8821,S Badrinath,30-08-1980,right-arm offbreak,right-hand bat,India,6
52541,Abhinav Mukund,06-01-1990,legbreak googly,left-hand bat,India,6
47185,Piyush Chawla,24-12-1988,legbreak,left-hand bat,India,6
62022,Deepak Chahar,07-08-1992,right-arm medium,right-hand bat,India,6
66941,Lungi Ngidi,29-03-1996,right-arm fast-medium,right-hand bat,South Africa,3
51050,Iqbal Abdulla,02-12-1989,slow left-arm orthodox,left-hand bat,India,6
66143,Domnic Muthuswami,09-03-1981,right-arm medium,right-hand bat,India,6
52290,Jason Roy,21-07-1990,,right-hand bat,England,1
49309,Dawid Malan,03-09-1987,legbreak,left-hand bat,England,1
7549,Tyron Henderson,01-08-1974,right-arm fast-medium,right-hand bat,South Africa,3
66358,Manan Vohra,18-07-1993,right-arm medium,right-hand bat,India,6
66371,Billy Stanlake,04-11-1994,right-arm fast,left-hand bat,Australia,2
61988,Unmukt Chand,26-03-1993,right-arm offbreak,right-hand bat,USA,11
47308,Abhishek Nayar,08-10-1983,right-arm medium,left-hand bat,India,6
12601,Ryan Harris,11-10-1979,right-arm fast,right-hand bat,Australia,2
75591,Rinku Singh,12-10-1997,right-arm offbreak,left-hand bat,India,6
54010,Parvinder Awana,19-07-1986,right-arm medium,right-hand bat,India,6
44660,Luke Wright,07-03-1985,right-arm medium,right-hand bat,England,1
49193,Thisara Perera,03-04-1989,right-arm medium-fast,left-hand bat,Sri Lanka,8
24672,Mashrafe Mortaza,05-10-1983,right-arm fast-medium,right-hand bat,Bangladesh,25
55321,Peter Handscomb,26-04-1991,,right-hand bat,Australia,2
6354,Morne van Wyk,20-03-1979,slow left-arm orthodox,right-hand bat,South Africa,3
45890,Ryan McLaren,09-02-1983,right-arm medium-fast,left-hand bat,South Africa,3
15267,Thilan Thushara,01-03-1981,left-arm fast-medium,left-hand bat,Sri Lanka,8
15739,Tanmay Srivastava,07-11-1989,right-arm medium,left-hand bat,India,6
44946,Jesse Ryder,06-08-1984,right-arm medium,left-hand bat,New Zealand,5
7723,Gagandeep Singh,03-10-1981,right-arm medium-fast,right-hand bat,India,6
47184,Vikram Singh,17-09-1984,right-arm medium-fast,right-hand bat,India,6
8021,Abhishek Jhunjhunwala,01-12-1982,right-arm offbreak,right-hand bat,India,6
87603,Khaleel Ahmed,05-12-1997,left-arm medium,right-hand bat,India,6
75315,M Shahrukh Khan,27-05-1995,right-arm offbreak,right-hand bat,India,6
51187,Shrikant Wagh,09-10-1988,left-arm medium-fast,left-hand bat,India,6
80451,Odean Smith,01-11-1996,right-arm fast-medium,right-hand bat,West Indies,4
6315,Mahela Jayawardene,27-05-1977,right-arm medium,right-hand bat,Sri Lanka,8
46591,Jerome Taylor,22-06-1984,right-arm fast,right-hand bat,West Indies,4
79159,Rashid Khan,20-09-1998,legbreak googly,right-hand bat,Afghanistan,40
61797,Sandeep Sharma,18-05-1993,right-arm medium,right-hand bat,India,6
79597,T Natarajan,04-04-1991,left-arm medium,left-hand bat,India,6
15308,Shahbaz Nadeem,12-08-1989,slow left-arm orthodox,right-hand bat,India,6
58185,Kevon Cooper,16-02-1989,right-arm medium,right-hand bat,West Indies,4
87477,Mohammed Siraj,13-03-1994,right-arm fast,right-hand bat,India,6
71335,Sarfaraz Khan,22-10-1997,legbreak,right-hand bat,India,6
46695,Vikramjeet Malik,09-05-1983,right-arm medium,right-hand bat,India,6
64443,Sheldon Cottrell,19-08-1989,left-arm fast-medium,right-hand bat,West Indies,4
104770,Ravi Bishnoi,05-09-2000,legbreak googly,right-hand bat,India,6
70411,Nitish Rana,27-12-1993,right-arm medium,left-hand bat,India,6
10671,Ramesh Powar,20-05-1978,right-arm offbreak,right-hand bat,India,6
10556,Vinay Kumar,12-02-1984,right-arm medium,right-hand bat,India,6
48319,Praveen Kumar,02-10-1986,right-arm medium,right-hand bat,India,6
1973,Anil Kumble,17-10-1970,legbreak googly,right-hand bat,India,6
15813,Nathan Rimmington,11-11-1982,right-arm fast-medium,right-hand bat,Australia,2
48879,Yusuf Abdulla,17-01-1983,left-arm fast-medium,left-hand bat,South Africa,3
62182,Hanuma Vihari,13-10-1993,right-arm offbreak,right-hand bat,India,6
61832,Chris Morris,30-04-1987,right-arm fast-medium,right-hand bat,South Africa,3
12894,Ravichandran Ashwin,17-09-1986,right-arm offbreak,right-hand bat,India,6
47695,Dirk Nannes,16-05-1976,left-arm fast,right-hand bat,Australia,2
66116,Murugan Ashwin,08-09-1990,legbreak googly,right-hand bat,India,6
66722,Mohit Sharma,18-09-1988,right-arm medium,right-hand bat,India,6
53716,Mitchell McClenaghan,11-06-1986,left-arm fast-medium,left-hand bat,New Zealand,5
11920,Manvinder  Bisla,27-12-1984,,right-hand bat,India,6
77835,KC Cariappa,13-04-1994,legbreak,right-hand bat,India,6
57444,Varun Aaron,29-10-1989,right-arm fast,right-hand bat,India,6
3328,Brad Hogg,06-02-1971,left-arm wrist-spin,left-hand bat,Australia,2
96752,Tejas Baroka,01-02-1996,legbreak googly,right-hand bat,India,6
48249,Pankaj Singh,06-05-1985,right-arm medium-fast,right-hand bat,India,6
50809,Paidikalva Vijaykumar,20-10-1986,right-arm medium,right-hand bat,India,6
48381,Anand Rajan,17-04-1987,right-arm medium,right-hand bat,India,6
10406,Graeme Smith,01-02-1981,right-arm offbreak,left-hand bat,South Africa,3
52539,Shreevats Goswami,18-05-1989,,left-hand bat,India,6
7793,Paul Valthaty,07-12-1983,right-arm medium,right-hand bat,India,6
7773,Gautam Gambhir,14-10-1981,legbreak,left-hand bat,India,6
15473,Yusuf Pathan,17-11-1982,right-arm offbreak,right-hand bat,India,6
7520,Rajat Bhatia,22-10-1979,right-arm medium-fast,right-hand bat,India,6
50483,James Faulkner,29-04-1990,left-arm fast-medium,right-hand bat,Australia,2
50709,Kane Richardson,12-02-1991,right-arm fast-medium,right-hand bat,Australia,2
51098,Dhawal Kulkarni,10-12-1988,right-arm medium,right-hand bat,India,6
68573,Pravin Tambe,08-10-1971,legbreak,right-hand bat,India,6
70472,Matthew Short,08-11-1995,right-arm offbreak,right-hand bat,Australia,2
52319,Sikandar Raza,24-04-1986,right-arm offbreak,right-hand bat,Zimbabwe,9
50618,Sunny Gupta,27-09-1988,right-arm offbreak,right-hand bat,India,6
72385,Fabian Allen,07-05-1995,slow left-arm orthodox,right-hand bat,West Indies,4
66190,Travis Head,29-12-1993,right-arm offbreak,left-hand bat,Australia,2
50886,Adrian Barath,14-04-1990,right-arm offbreak,right-hand bat,West Indies,4
61479,Sachin Baby,18-12-1988,right-arm offbreak,left-hand bat,India,6
108612,Prashant Solanki,22-02-2000,legbreak,right-hand bat,India,6
74633,Navdeep Saini,23-11-1992,right-arm fast,right-hand bat,India,6
47347,Bipul Sharma,28-09-1983,slow left-arm orthodox,left-hand bat,India,6
67458,Nikhil Naik,09-11-1994,,right-hand bat,India,6
81147,Venkatesh Iyer,25-12-1994,right-arm medium,left-hand bat,India,6
8161,Shalabh Srivastava,22-09-1981,left-arm fast-medium,right-hand bat,India,6
102753,Sai Sudharsan,15-10-2001,legbreak,left-hand bat,India,6
7540,Charl Langeveldt,17-12-1974,right-arm fast-medium,right-hand bat,South Africa,3
48277,Shakib Al Hasan,24-03-1987,slow left-arm orthodox,left-hand bat,Bangladesh,25
51012,Andre Russell,29-04-1988,right-arm fast,right-hand bat,West Indies,4
36039,Nayan Doshi,06-10-1978,slow left-arm orthodox,right-hand bat,England,1
9801,Wilkin Mota,20-09-1981,right-arm medium,right-hand bat,India,6
5966,Brett Lee,08-11-1976,right-arm fast,right-hand bat,Australia,2
58265,Jaskaran Singh,04-09-1989,right-arm medium,right-hand bat,India,6
45554,Dwayne Smith,12-04-1983,right-arm medium,right-hand bat,West Indies,4
7786,Aakash Chopra,19-09-1977,right-arm medium,right-hand bat,India,6
35384,George Bailey,07-09-1982,right-arm medium,right-hand bat,Australia,2
51491,Rishi Dhawan,19-02-1990,right-arm medium-fast,right-hand bat,India,6
53978,Karanveer Singh,08-11-1987,legbreak googly,right-hand bat,India,6
10421,Tatenda Taibu,14-05-1983,right-arm medium,right-hand bat,Zimbabwe,9
84649,Shivil Kaushik,07-09-1995,left-arm wrist-spin,right-hand bat,India,6
47186,Sunny Singh,18-12-1986,right-arm medium-fast,right-hand bat,India,6
17731,Raju Bhatkal,01-09-1985,right-arm medium,right-hand bat,India,6
44908,Umar Gul,15-10-1982,right-arm fast-medium,right-hand bat,Pakistan,7
95316,Shubman Gill,08-09-1999,right-arm offbreak,right-hand bat,India,6
96417,Shivam Mavi,26-11-1998,right-arm fast-medium,right-hand bat,India,6
55398,Rassie van der Dussen,07-02-1989,legbreak,right-hand bat,South Africa,3
50771,Mitchell Marsh,20-10-1991,right-arm medium,right-hand bat,Australia,2
77887,Abhinav Manohar,16-09-1994,legbreak googly,right-hand bat,India,6
49035,Javon Searles,21-12-1986,right-arm fast-medium,right-hand bat,West Indies,4
72397,Alzarri Joseph,20-11-1996,right-arm fast,right-hand bat,West Indies,4
84635,Prasidh Krishna,19-02-1996,right-arm fast-medium,right-hand bat,India,6
45358,Ryan ten Doeschate,30-06-1980,right-arm medium-fast,right-hand bat,Netherlands,15
52241,Sam Billings,15-06-1991,,right-hand bat,England,1
2314,Paul Collingwood,26-05-1976,right-arm medium,right-hand bat,England,1
45592,Joginder Sharma,23-10-1983,right-arm fast-medium,right-hand bat,India,6
103599,Simarjeet Singh,17-01-1998,right-arm medium-fast,right-hand bat,India,6
62500,Andrew Tye,12-12-1986,right-arm medium-fast,right-hand bat,Australia,2
4380,Daniel Vettori,27-01-1979,slow left-arm orthodox,left-hand bat,New Zealand,5
96395,Ramandeep Singh,13-04-1997,right-arm medium,right-hand bat,India,6
106418,Ripal Patel,28-09-1995,right-arm medium-fast,right-hand bat,India,6
11374,Farveez Maharoof,07-09-1984,right-arm fast-medium,right-hand bat,Sri Lanka,8
94153,Sanjay Yadav,10-05-1995,slow left-arm orthodox,left-hand bat,India,6
62033,Ishwar Pandey,15-08-1989,right-arm medium,right-hand bat,India,6
61413,Evin Lewis,27-12-1991,,left-hand bat,West Indies,4
62587,Reece Topley,21-02-1994,left-arm fast-medium,right-hand bat,England,1
49357,Sheldon Jackson,27-09-1986,,right-hand bat,India,6
96408,Anukul Roy,30-11-1998,slow left-arm orthodox,left-hand bat,India,6
7432,Ray Price,12-06-1976,slow left-arm orthodox,right-hand bat,Zimbabwe,9
49496,Chris Woakes,02-03-1989,right-arm fast-medium,right-hand bat,England,1
60529,Abrar Kazi,29-09-1989,slow left-arm orthodox,left-hand bat,India,6
46717,Pardeep Sahu,21-08-1985,legbreak googly,right-hand bat,India,6
75321,Virat Singh,08-12-1997,legbreak googly,left-hand bat,India,6
57609,Doug Bracewell,28-09-1990,right-arm fast-medium,right-hand bat,New Zealand,5
47055,Eoin Morgan,10-09-1986,right-arm medium,left-hand bat,England,1
54479,Debabrata Das,22-09-1986,legbreak googly,right-hand bat,India,6
49039,Sunil Narine,26-05-1988,right-arm offbreak,left-hand bat,West Indies,4
63522,Baba Indrajith,08-07-1994,legbreak googly,right-hand bat,India,6
9022,Lakshmipathy Balaji,27-09-1981,right-arm medium-fast,right-hand bat,India,6
3317,VVS Laxman,01-11-1974,right-arm offbreak,right-hand bat,India,6
104045,Kuldeep Sen,22-10-1996,right-arm fast,right-hand bat,India,6
94051,Sai Kishore,06-11-1996,slow left-arm orthodox,left-hand bat,India,6
45774,Fidel Edwards,06-02-1982,right-arm fast,right-hand bat,West Indies,4
7632,Mohammad Kaif,01-12-1980,right-arm offbreak,right-hand bat,India,6
48927,Martin Guptill,30-09-1986,right-arm offbreak,right-hand bat,New Zealand,5
7708,Niraj Patel,26-03-1981,,left-hand bat,India,6
11647,Salman Butt,07-10-1984,right-arm offbreak,left-hand bat,Pakistan,7
2000,Shane Warne,13-09-1969,legbreak googly,right-hand bat,Australia,2
47252,Mahesh Rawat,25-10-1985,,right-hand bat,India,6
48128,Sohail Tanvir,12-12-1984,left-arm medium-fast,left-hand bat,Pakistan,7
47100,Munaf Patel,12-07-1983,right-arm medium-fast,right-hand bat,India,6
64479,Deepak Hooda,19-04-1995,right-arm offbreak,right-hand bat,India,6
51421,Chris Jordan,04-10-1988,right-arm fast-medium,right-hand bat,England,1
111976,Harshit Rana,22-12-2001,right-arm fast,right-hand bat,India,6
72363,Phil Salt,28-08-1996,right-arm offbreak,right-hand bat,England,1
7781,Virender Sehwag,20-10-1978,right-arm offbreak,right-hand bat,India,6
47079,Ben Rohrer,26-03-1981,,left-hand bat,Australia,2
52521,Chidhambaram Gautam,08-03-1986,,right-hand bat,India,6
47289,Morne Morkel,06-10-1984,right-arm fast,left-hand bat,South Africa,3
53439,Ben Laughlin,03-10-1982,right-arm fast-medium,right-hand bat,Australia,2
58274,Umesh Yadav,25-10-1987,right-arm fast,right-hand bat,India,6
8399,Shane Harwood,01-03-1974,right-arm fast-medium,right-hand bat,Australia,2
108718,Aman Hakim Khan,23-11-1996,right-arm medium,right-hand bat,India,6
48269,Amit Singh,21-06-1981,right-arm medium-fast,right-hand bat,India,6
49005,Sunny Sohal,10-11-1987,legbreak,right-hand bat,USA,11
89889,Ishan Porel,05-09-1998,right-arm medium,right-hand bat,India,6
15851,Karan Goel,24-12-1986,right-arm offbreak,left-hand bat,India,6
10562,Alfonso Thomas,09-02-1977,right-arm fast-medium,right-hand bat,South Africa,3
